df,opt_left,Grup,Ind1,Ind2,Magnitud_Ind1_Grup,Magnitud_Grup_Ind2,Magnitud_Ind1_Ind2,Cambio_postura_Ind1_Grup,Cambio_postura_Grup_Ind2,Cambio_postura_Ind1_Ind2,Nivel_Ind1_Grup,Nivel_Grup_Ind2,Nivel_Ind1_Ind2,Direccion_Ind1_Grup,Direccion_Grup_Ind2,Direccion_Ind1_Ind2,Comentario - Ind1 - Diferencial 1,Comentario - Ind1 - Diferencial 2,Comentario - Grup - Diferencial 1,Comentario - Grup - Diferencial 2,Comentario - Ind2 - Diferencial 1,Comentario - Ind2 - Diferencial 2,agno,seccion
2,Algoritmo W: mayor exactitud y menor explicabilidad,1,2,1,1,0,1,0,0,0,Cambio pequeño,Se mantiene,Cambio pequeño,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"Creo que Amanda debería buscar la solución que tenga menor error en general, sin descuidar errores en el total de la población. Si bien, no se debería discriminar, se tiene que buscar el mayor éxito en el diagnóstico. Buscaría maximizar los éxitos totales","Creo que Amanda debería buscar la solución que entregue mejores resultados. Si bien es relevante que el usuario entienda como se le diagnostica, creo que es más importante tratar la enfermedad. Además, como la explicabilidad también afecta a la hora de estudiar la enfermedad creo que se debe considerar mejorar ese sentido","Pensamos que Amanda debería considerar buscar un buen porcentaje de éxito a la hora de diagnosticar, teniendo en consideración poblaciones que pueden ser pasadas por alto por el algoritmo. Creemos que es importante lograr una solución que no discrimine y que funcione al diagnosticar","Consideramos que el objetivo del estudio es diagnosticar. Por esto Amanda debería pensar en maximizar la exactitud, pasando por alto la explicabilidad, el por qué se llega al resultado no debería importar si este está correcto, al menos en este caso, a la hora de tratar enfermedades.","No cambió mucho mi opinión respecto a lo que opinaba previo a la discusión ya que mi opinión no estaba particularmente alejada de mis compañer@s, creo que se tiene que considerar la exactitud del diagnóstico, ese es el objetivo principal del proyecto. Aún así es importante no discriminar a la hora de implementar la solución, por lo que se mantiene un punto medio corrido hacia el menor error","Mi opinión cambió un poco, considero que es más importante la exactitud por sobre la explicabilidad, y que el objetivo en un principio era ese, diagnosticar la tuberculosis. Un aspecto que la discusión me permitió considerar, y que cambió mi elección, es que se puede hacer otro proyecto que considere la explicabilidad para el estudio de la enfermedad",2023,2
2,Algoritmo W: mayor exactitud y menor explicabilidad,1,1,1,0,0,0,0,0,0,Se mantiene,Se mantiene,Se mantiene,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"lo que dice el algoritmo Y es que igualemos la probabilidad de encontrar efectivamente a las personas con tuberculosis tanto extrajeras como del país pero que esa probabilidad sea peor, siendo esto amoral ya que se salvaría menos personas del país conscientemente. Además Amanda esta contratada para enfocarse en las personas de su país","Es mas importante que la eficiencia del algoritmo sea mayor para que mas personas puedan ser salvadas, aunque ellas no sepan del todo como funciona este algoritmo que haya menos probabilidad de detectar que efectivamente una persona tenga tuberculosis .","Puse 4 porque en el caso la población de riesgo eran los extranjeros y es crucial tratarlos o diagnosticarlos a ellos en concreto, entonces  es preferible que crezca la probabilidad de detectar con efectividad a los extranjeros y salvar a los que están con mayor peligro","Es mas importante que la eficiencia del algoritmo sea mayor para que mas personas puedan ser salvadas, aunque ellas no sepan del todo como funciona este algoritmo. Que haya menos probabilidad de detectar que efectivamente una persona tenga tuberculosis provocaría que se salvaran menos. Una vida es más importante que velar por la seguridad psicológica de esta misma","Cambié drásticamente mi opinión ya que no había tomado en cuenta que la población de riesgo eran los extranjeros, así que aunque el algoritmo X tenga mayor precisión y por ende pueda salvar a más gente, se salvarían con menos probabilidad a los extranjeros que son los que sufren más la tuberculosis","Con las personas del chat coincidimos en que era más importante tener mayor exactitud, por ende más probabilidad de detectar a las personas con tuberculosis que estas personas estuvieran conscientes de cómo funciona este algoritmo sacrificando así su probabilidad de poder descubrir efectivamente si padecen de tuberculosis, ya que es más importante el diagnóstico efectivo para lograr salvar a más personas que su seguridad psicológica de entender este algoritmo.",2023,2
2,Algoritmo W: mayor exactitud y menor explicabilidad,1,1,1,0,0,0,0,0,0,Se mantiene,Se mantiene,Se mantiene,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"En mi opinión, lo más conveniente es detectar la enfermedad con mayor exactitud para evitar que una persona sufra mucho con esta enfermedad. Sin embargo, sabemos que para personas migrantes, el margen de error es mayor. Por lo tanto, deberíamos llevar a cabo un proceso más extenso para confirmar si realmente son pacientes de tuberculosis.","sigo sintiendo que es mejor detectar la enfermedad a que tener la explicabilidad, aunque por un tema legal no es algo que podamos realizar, siento que es mejor salvar vidas que tener que cumplir con una ley, y por el tema de investigación es mejor dedicar mas tiempo a descifrarlo mientras se salvan vidas","El Algoritmo Y, a pesar de tener un mayor error promedio en la detección de la enfermedad, se justifica al mantener tasas de error uniformes entre nacionalidades. Esta característica promueve equidad al evitar sesgos específicos y garantiza un enfoque más consistente en poblaciones diversas.","Aunque reconocemos la importancia de la explicabilidad, priorizamos la detección de enfermedades para salvar vidas. Aunque legalmente limitado, creemos que la urgencia de preservar vidas justifica centrarse en la detección, permitiendo la dedicación posterior a la investigación, además encontramos que es lo mejor para que la gente no se deprima.","mi visión en este punto si cambio, ya que debido a un tema ético deberíamos buscar algo que haga lo mismo para todos en vez de que para uno sea un proceso mas complejo o diferente, además así podemos convertirlo en algo mundial y ayudar a muchas mas personas","mi visión no cambio la verdad, debido a que en la discusión anterior los dos estábamos de acuerdo a que teníamos que si o si detectar la enfermedad para ayudar a una persona, y que lo legal no era importante en esos casos, además tenemos mas tiempo de descifrar lo inexplicable a que perder a alguien.",2023,2
2,Algoritmo W: mayor exactitud y menor explicabilidad,1,1,1,0,0,0,0,0,0,Se mantiene,Se mantiene,Se mantiene,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"A mi juicio es de suma importancia preservar por sobretodo el valor de la igualdad de las dignidades de todas las personas. Es decir, creo que es primario asegurarnos de que todos reciben el mismo trato, sin importar, por supuesto, algo tan indistinto como su nacionalidad.","Creo que un algoritmo de ese estilo es complementario con atenciones profesionales correspondientes. La explicabilidad se puede asegurar aún cuando no sea por parte del algoritmo. Entonces, una vez teniendo un diagnóstico, es posible aún conseguir información. Por otro lado, da igual la cantidad de información que tengamos si ésta es falsa o incorrecta.",0,"Lo importante o primordial (sin contar leyes en específico), es poder preservar la vida. Entonces, llegamos a la conclusión de que no tiene sentido alguno poder explicar mucho, si es que la información que se da es falsa o incorrecta y causa más daño que bien. No así si entregamos información exacta, que es una buena base para ir más allá.","Considerando los argumentos dados por mi compañero/a, creo aún que es esencial recordar la dignidad de los humanos como iguales. Partiendo de esa base, no es posible buscar un punto medio entre un extremo y otro. Aún si se quisiera argumentar al respecto del dilema de que varias vidas valen más que una, ésto no tiene sentido porque los datos que tenemos no son suficientes para hacer un análisis así.","Una vez más: es primordial poder entregar buena información y no mucha. Esto podría ser, en algunos casos, perjudicial. En el sentido de que alguien podría no saber qué significa un diagnóstico, pero es sin duda más perjudicial tene un diagnóstico errado y tratarlo o no tratarlo.",2023,2
1,Algoritmo W: mayor exactitud y menor explicabilidad,1,1,1,0,0,0,0,0,0,Se mantiene,Se mantiene,Se mantiene,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"se puede implementar un método alternativo de detección de tuberculosis para las personas migrantes, debido a que el algoritmo X proporciona un mejor resultado en su uso, a pesar de que la población sea acotada a la original. Esto permite salvar más vidas ya que la población migrante no suele ser un porcentaje de la población de un país.","Debido que estamos hablando de vidas humanas en juego, yo considero que el algoritmo W entrega la mejor solución posible, ya que si bien se presentan las adversidades descritas en el texto (menor explicabilidad), el valor de la vida es mucho mayor.","Se puede implementar un método alternativo de detección de tuberculosis para las personas migrantes, debido a que el algoritmo X proporciona un mejor resultado en su uso, a pesar de que la población sea acotada a la original. Esto permite salvar más vidas ya que la población migrante no suele ser un porcentaje significativo de la población de un país.",": Debido que estamos hablando de vidas humanas en juego, yo considero que el algoritmo W entrega la mejor solución posible, ya que si bien se presentan las adversidades descritas en el texto (menor explicabilidad), el valor de la vida es mucho mayor.","se puede implementar un método alternativo de detección de tuberculosis para las personas migrantes, debido a que el algoritmo X proporciona un mejor resultado en su uso, a pesar de que la población sea acotada a la original. Esto permite salvar más vidas ya que la población migrante no suele ser un porcentaje de la población de un país.(no cambio mi opinion)","Debido que estamos hablando de vidas humanas en juego, yo considero que el algoritmo Z entrega la mejor solución posible, ya que si bien no es tan exacta en un principio, este algoritmo tiene capacidades de mejora mucho mayores debido al entendimiento de este por parte del cuerpo medico. En su contraste tenemos al algoritmo W que si bien es más exacto, de tener un error no sería fácil de comprender, y por lo tanto tampoco de reparar, tomando un costo mayor de vidas humanas.",2023,2
1,Algoritmo W: mayor exactitud y menor explicabilidad,1,1,1,0,0,0,0,0,0,Se mantiene,Se mantiene,Se mantiene,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"lo mas importante es poder brindar la mejor salud posible a los pacientes, considerando que la mayoría de la población es nacional, se justifica la opción X, de esta misma forma seria mas sencillo evaluar solo los casos de los inmigrantes","creo que un algoritmo que tiene mayor explicabilidad, a la larga podrá ser ajustable y terminara siendo mas eficiente ya que se puede corregir, a las vez que es mas amigable con los derechos de las personas, y es mas facil poder evitar errores en sistematizar tanto, algo que no es mecánico, que el el cuidado de las personas","con el grupo se decidió generar el algoritmo X ya que este es mas eficiente que el otro, el hecho que no considere a los migrantes, es inaceptable, por lo que se debe desarrollar otra alternativa para ellos, de la misma forma, personalizada y mas eficiente","como grupo hemos decidido tomar lo mejor de ambos mundos, ya que es importante que el algoritmo sea eficiente, o no tendría sentido, pero la explicabilidad, es necesaria para poder entregar un analisis de la condicion fundado y que la persona puede ver su diagnostico, y no pasar a llevar sus derechos","aquí no hubo diferencia con mi grupo ya que todos tenemos una idea similar de como abordar el problema, ya que no nos podemos permitir entregar un programa defectuoso que esta jugando con las vidas de personas, por supuesto tomando en consideración a migrantes, y dándole una solución alternativa.","aquí hubo un debate con mi grupo, porque yo considero que la explicabilidad, es vital para un algoritmo que sirve como herramienta auxiliar a un diagnostico, y debe ser entendida por el profesional a cargo, y no tomada como ciencia cierta, por lo que es importante poder entender como se llega a los resultados",2023,2
1,Algoritmo W: mayor exactitud y menor explicabilidad,1,3,1,2,0,2,0,0,0,Cambio moderado,Se mantiene,Cambio moderado,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"Como el algoritmo se apunta a las fases tempranas de la enfermedad, el tener un error no arriega en gran medida la vida del paciente y ademas usando el arlgoritmo x mas personas tendran un analisis preciso.",Se le debe dar mas importancia a la salud del paciente aunque este no llegue a saber exactamente el analisis,"Existe la posibilidad de crear un algoritmo alternativo para la deteccion de tuberculosis para personas migrantes, ya que el algoritmo x proporciona mejores resultados en su uso, a pesar de que la poblacion sea acotada respecto a la original. Esto permite salvar mas vidas porque la poblacion migrante no suele ser un porcentaje mayor de la poblacion de un pais","Aunque el W asegura las vidas de los pacientes, este no aporta al aprendizaje y nalisas de resultados","El algoritmo x en general aporta a salvar mas vidas considerando que el porcentaje de poblacion migrante en un pais nunca excedera a la poblacion original, mientras que el algoritmo y en general pone mas vidas en peligro al tener una tasa de error mayor en general para ambas poblaciones, ademas que se haya podido crear el algoritmo x implica la posibilidad de crear un algoritmo eficaz para la poblacion migrante.","Aunque el algoritmo w pueda asegurar la salud de los pacientes con respecto a los diagnosticos, este sigue teniendo fallas ya que no puede aportar tan bien como el algoritmo z para las investigaciones destinadas al estudio de la enfermedad en la poblacion de un pais, lo cual puede derivar a desarrollos de algoritmos o metodologias con errores o fallas por culpa de la falta de informacion analizable.",2023,2
2,Algoritmo W: mayor exactitud y menor explicabilidad,1,1,1,0,0,0,0,0,0,Se mantiene,Se mantiene,Se mantiene,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"Yo usaria el Algoritmo Y para asi evitar futuros casos de discriminación y/o xenofobía a personas de distinta nacionalidad, asimismo, al estar los extranjeros en el grupo de riesgo, es sumamente importante considerarlos para la detencion y el tratamiento de esta enfermedad","En este caso, yo usaria el Algoritmo W ya que el propósito del proyecto es detectar tempranamente a los pacientes, no su explicación, entonces para resolver este problema es mejor este algoritmo, asimismo, es evidente que su explicación es fundamental para futuros tratamientos o prevenciones pero, como ya lo mencione, no es este el objetivo del proyecto","Estuvimos conversando como grupo y pensamos que lo mejor es poner una respuesta más balanceada en esta, ya que en su mayotía todos pusieron el algoritmo x pero no tomaron en cuenta la discriminación que puede ocurrir a las personas de distintas nacionalidades y el hecho que son población de riesgo, entonces nos acercamos mas a la implementacion del algoritmo y","Nosotros llegamos al acuerdo que el propósito de este proyecto es detectar la enfermedad, no de explicarlas, entonces pensamos que para encontrar la solucion de este proyecto es mejor este algoritmo y si queremos explicar por qué pasa esto deberiamos crear otro proyecto para buscar su explicabilidad","No afectó mi juicio en este item ya que sigo pensando que es sumamente importante considerar los posibles problemas sociales que pueden reflejarse a futuro, específicamente el racismo y la discriminación, asimismo, los extranjeros son parte de la población de riesgo, entonces es sumamente importante que sean examinados lo mas acercado a la verdad posible para poder tratar y frenar esta enfermedad","Tampoco se vio afectado mi juicio este item ya que sigo pensando que, es sumamente importante buscar la explicabilidad de esta enfermedad para futuros tratamientos y/o prevenciones, pero el objetivo del proyecto de Amanda es la detencion de esta enfermedad, entonces este algoritmo ayuda mas a cumplir este objetivo",2023,2
2,Algoritmo W: mayor exactitud y menor explicabilidad,1,1,1,0,0,0,0,0,0,Se mantiene,Se mantiene,Se mantiene,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"A mi opinión seria mejor el algoritmo x puesto que esta solución va a tener un menor error , por lo que sus estimaciones van a ser mejores, siendo así de mayor ayuda a las personas.",seria mejor que este tuviera una mejor exactitud ya que si bien va a ser mas difícil de explicar el beneficio siempre va a ser para las personas qué ocupén el algoritmo,debido a que mas apegado a esta nos podemos evitar tanto el sesgo como la discriminacion,Mas que nada a que lo importante es el diagnostico,ya que me dieron sus distintos puntos de vista de los cuales podian afectar al ingeniero y concordamos en valorar mas esos aspectos,la verdad es que en este punto todos estuvimos de acuerdo con esta eleccion ya que casi todos la habiamos puesto la misma,2023,2
1,Algoritmo W: mayor exactitud y menor explicabilidad,1,3,1,2,0,2,0,0,0,Cambio moderado,Se mantiene,Cambio moderado,Se mantiene en la izquierda,Se mantiene en la izquierda,Se mantiene en la izquierda,"Pese a la influencia del contexto en el que viven las personas, es decisión propia migrar hacia un país, por lo que se debería dar 'prioridad' a sus habitantes internos.Además, es probable que se hiciese un estudio y se llegasen a estas conclusiones, por lo que la gente sabría de antemano.Esto además permite que los habitantes tengan una menor tasa de mortalidad, de donde podrán crecer personas que desarrollen sistemas más eficientes y equitativos en el futuro.","Se requiere de exactitud en la base de los datos médicos, puesto que los humanos (en particular, los médicos) pueden adaptarse y generar una interpretación más adecuada de los resultados de una máquina con el transcurrir del tiempo.De ese modo, los médicos podrán progresivamente mejorar sus especificaciones en el diagnóstico de los pacientes.","Pese a la influencia del contexto en el que viven las personas, es decisión propia migrar hacia un país, por lo que se debería dar 'prioridad' a sus habitantes internos. Además, es probable que se hiciese un estudio y se llegasen a estas conclusiones, por lo que la gente sabría de antemano. Esto además permite que los habitantes tengan una menor tasa de mortalidad, de donde podrán crecer personas que desarrollen sistemas más eficientes y equitativos en el futuro.->Además, después de la discusión con el grupo, notamos que se consigue salvar a un mayor porcentaje de personas, puesto que la mayoría de la población no son inmigrantes.","Se requiere de exactitud en la base de los datos médicos, puesto que los humanos (en particular, los médicos) pueden adaptarse y generar una interpretación más adecuada de los resultados de una máquina con el transcurrir del tiempo. De ese modo, los médicos podrán progresivamente mejorar sus especificaciones en el diagnóstico de los pacientesSin embargo, luego de la discusión grupal, también se consideró el aprendizaje que se le puede aplicar al algoritmo para mejorar la exactitud de sus predicciones con el tiempo.","-> 1Pese a la influencia del contexto en el que viven las personas, es decisión propia migrar hacia un país, por lo que se debería dar 'prioridad' a sus habitantes internos. Además, es probable que se hiciese un estudio y se llegasen a estas conclusiones, por lo que la gente sabría de antemano. Esto además permite que los habitantes tengan una menor tasa de mortalidad, de donde podrán crecer personas que desarrollen sistemas más eficientes y equitativos en el futuro.-> 2Además, después de la discusión con el grupo, notamos que se consigue salvar a un mayor porcentaje de personas, puesto que la mayoría de la población no son inmigrantes.-> 3Mi percepción se mantuvo igual, puesto que logré considerar más detalles de ambos diferenciales, y quedé aún más convencido de los argumentos de aquellos compañeros que preferían el algoritmo X. (mayor porcentaje de personas salvadas, y que cada país puede producir su algoritmo propio con el tiempo).","-> 1Se requiere de exactitud en la base de los datos médicos, puesto que los humanos (en particular, los médicos) pueden adaptarse y generar una interpretación más adecuada de los resultados de una máquina con el transcurrir del tiempo. De ese modo, los médicos podrán progresivamente mejorar sus especificaciones en el diagnóstico de los pacientes-> 2Sin embargo, luego de la discusión grupal, también se consideró el aprendizaje que se le puede aplicar al algoritmo para mejorar la exactitud de sus predicciones con el tiempo.-> 3En este caso, mi punto de vista sí se vio alterado (1->2). Dos compañeros del grupo con la opinión contraria me hicieron pensar sobre detalles que no observé con atención, consecuencias que no imaginé, o posibilidades que no consideré importantes, como la de mejorar el algoritmo con el trancurso del tiempo, y así permitir, en la inmediatez, el derecho a la explicación de los pacientes.",2023,2
